VeraMono.ttf: "Bitstream Vera Sans Mono" "Roman"
DejaVuSansMono.ttf: "DejaVu Sans Mono" "Book"
DejaVuSansMono-Bold.ttf: "DejaVu Sans Mono" "Bold"
andalemo.ttf: "Andale Mono" "Normal"
cour.ttf: "Courier New" "Normal"
couri.ttf: "Courier New" "Cursiva"
luximr.ttf: "Luxi Mono" "Regular"
l047013t.pfa: "Luxi Mono" "Regular"
cour.pfa: "Courier" "Regular"
courR12-ISO8859-1.pcf.gz: "Courier" "Regular"
courR12.pcf.gz: "Courier" "Regular"
wqy-zenhei.ttf: "文泉驛正黑" "中等"
GohaTibebZemen.ttf: "Goha-Tibeb Zemen" "Regular"
YaHei.Consolas.ttf: "YaHei Consolas Hybrid" "Normal"
arial.ttf: "Arial" "Normal"
DejaVuSerif.ttf: "DejaVu Serif" "Book"
DejaVuSans.ttf: "DejaVu Sans" "Book"
simsun.ttf: "SimSun" "Regular"
SyrCOMUrhoy.otf: "Serto Urhoy" "Regular"
seguibk.ttf: "Segoe UI" "Regular"
wqy-microhei.ttc: "文泉驛微米黑" "Regular"
tahomabd.ttf: "Tahoma" "Negreta"
DejaVuSans-Bold.ttf: "DejaVu Sans" "Bold"
DejaVuSerif-Bold.ttf: "DejaVu Serif" "Bold"
DejaVuSerif-Italic.ttf: "DejaVu Serif" "Italic"
DejaVuSerif-BoldItalic.ttf: "DejaVu Serif" "Bold Italic"
DejaVuSans-Oblique.ttf: "DejaVu Sans" "Oblique"
DejaVuSans-BoldOblique.ttf: "DejaVu Sans" "Bold Oblique"
12x13ja.pcf.gz: "Fixed" "ja"
6x12.pcf.gz: "Fixed" "SemiCondensed"
6x13-ISO8859-1.pcf.gz: "Fixed" "SemiCondensed"
6x13.pcf.gz: "Fixed" "SemiCondensed"
wenquanyi_9pt.pcf: "WenQuanYi Bitmap Song" "Regular"
wenquanyi_10pt.pcf: "WenQuanYi Bitmap Song" "Regular"
term14.pcf.gz: "Terminal" "Regular"
wenquanyi_11pt.pcf: "WenQuanYi Bitmap Song" "Regular"
9x15.pcf.gz: "Fixed" "Regular"
wenquanyi_12pt.pcf: "WenQuanYi Bitmap Song" "Regular"
cu12.pcf.gz: "ClearlyU" "Regular"
cu-pua12.pcf.gz: "ClearlyU PUA" "Regular"
cu-alt12.pcf.gz: "ClearlyU Alternate Glyphs" "Regular"
10x20.pcf.gz: "Fixed" "Regular"
