VeraSe.ttf: "Bitstream Vera Serif" "Roman"
DejaVuSerif.ttf: "DejaVu Serif" "Book"
DejaVuSerif-Bold.ttf: "DejaVu Serif" "Bold"
DejaVuSerif-Italic.ttf: "DejaVu Serif" "Italic"
DejaVuSerif-BoldItalic.ttf: "DejaVu Serif" "Bold Italic"
times.ttf: "Times New Roman" "Normal"
luxirr.ttf: "Luxi Serif" "Regular"
l049013t.pfa: "Luxi Serif" "Regular"
timR12.pcf.gz: "Times" "Regular"
wqy-zenhei.ttf: "文泉驛正黑" "中等"
GohaTibebZemen.ttf: "Goha-Tibeb Zemen" "Regular"
YaHei.Consolas.ttf: "YaHei Consolas Hybrid" "Normal"
arial.ttf: "Arial" "Normal"
cour.ttf: "Courier New" "Normal"
DejaVuSans.ttf: "DejaVu Sans" "Book"
DejaVuSansMono.ttf: "DejaVu Sans Mono" "Book"
ariblk.ttf: "Arial Black" "Normal"
simsun.ttf: "SimSun" "Regular"
SyrCOMAdiabene.otf: "East Syriac Adiabene" "Regular"
SyrCOMMalankara.otf: "Serto Malankara" "Regular"
seguibk.ttf: "Segoe UI" "Regular"
cour.pfa: "Courier" "Regular"
tahomabd.ttf: "Tahoma" "Negreta"
DejaVuSans-Bold.ttf: "DejaVu Sans" "Bold"
DejaVuSansMono-Bold.ttf: "DejaVu Sans Mono" "Bold"
DejaVuSans-Oblique.ttf: "DejaVu Sans" "Oblique"
DejaVuSans-BoldOblique.ttf: "DejaVu Sans" "Bold Oblique"
12x13ja.pcf.gz: "Fixed" "ja"
6x12-ISO8859-1.pcf.gz: "Fixed" "SemiCondensed"
6x12.pcf.gz: "Fixed" "SemiCondensed"
6x13.pcf.gz: "Fixed" "SemiCondensed"
wenquanyi_9pt.pcf: "WenQuanYi Bitmap Song" "Regular"
wenquanyi_10pt.pcf: "WenQuanYi Bitmap Song" "Regular"
term14.pcf.gz: "Terminal" "Regular"
9x15.pcf.gz: "Fixed" "Regular"
wenquanyi_11pt.pcf: "WenQuanYi Bitmap Song" "Regular"
wenquanyi_12pt.pcf: "WenQuanYi Bitmap Song" "Regular"
cu12.pcf.gz: "ClearlyU" "Regular"
cu-alt12.pcf.gz: "ClearlyU Alternate Glyphs" "Regular"
cu-pua12.pcf.gz: "ClearlyU PUA" "Regular"
10x20.pcf.gz: "Fixed" "Regular"
